Date,Open,High,Low,Close,Adj Close,Volume,Returns %
2022-08-02,294.0033264160156,307.8333435058594,292.6666564941406,300.586669921875,300.586669921875,95577600,
2022-08-03,305.0,309.54998779296875,301.1499938964844,307.39666748046875,307.39666748046875,80091000,2.265568716125621
2022-08-04,311.0,313.6066589355469,305.0,308.6333312988281,308.6333312988281,72256200,0.40230228534861023
2022-08-05,302.6700134277344,304.6066589355469,285.5433349609375,288.1700134277344,288.1700134277344,113172900,-6.63030068235908
2022-08-08,295.0,305.20001220703125,289.086669921875,290.42333984375,290.42333984375,98994000,0.7819434052879659
2022-08-09,290.2933349609375,292.39666748046875,279.35333251953125,283.3333435058594,283.3333435058594,86244600,-2.4412625864385085
2022-08-10,297.0666809082031,297.510009765625,283.3699951171875,294.3566589355469,294.3566589355469,94918800,3.890581776676605
2022-08-11,296.5133361816406,298.2366638183594,285.8333435058594,286.6300048828125,286.6300048828125,70155000,-2.6249292544206493
2022-08-12,289.4166564941406,300.1600036621094,285.0333251953125,300.0299987792969,300.0299987792969,79657200,4.675014362841368
2022-08-15,301.78668212890625,313.1333312988281,301.2300109863281,309.32000732421875,309.32000732421875,89359200,3.096359891583922
2022-08-16,311.6666564941406,314.6666564941406,302.8833312988281,306.5633239746094,306.5633239746094,88136400,-0.8912075793144236
2022-08-17,303.39666748046875,309.6566772460937,300.0333251953125,303.9966735839844,303.9966735839844,68766000,-0.8372333511224461
2022-08-18,306.0,306.5,301.85333251953125,302.8699951171875,302.8699951171875,47500500,-0.37062197211366055
2022-08-19,299.0,300.3599853515625,292.5,296.6666564941406,296.6666564941406,61395300,-2.0481852686155544
2022-08-22,291.913330078125,292.3999938964844,286.2966613769531,289.913330078125,289.913330078125,55843200,-2.2764022407583906
2022-08-23,291.4533386230469,298.82666015625,287.92333984375,296.4533386230469,296.4533386230469,63984900,2.25584954757323
2022-08-24,297.5633239746094,303.64666748046875,296.5,297.0966796875,297.0966796875,57259800,0.2170125887066332
2022-08-25,302.3599853515625,302.9599914550781,291.6000061035156,296.07000732421875,296.07000732421875,53230000,-0.3455684406709514
2022-08-26,297.42999267578125,302.0,287.4700012207031,288.0899963378906,288.0899963378906,57163900,-2.6953121859416895
2022-08-29,282.8299865722656,287.739990234375,280.70001220703125,284.82000732421875,284.82000732421875,41864700,-1.135058160727187
2022-08-30,287.8699951171875,288.4800109863281,272.6499938964844,277.70001220703125,277.70001220703125,50541800,-2.49982267189629
2022-08-31,280.6199951171875,281.25,271.8099975585937,275.6099853515625,275.6099853515625,52107300,-0.7526203685978228
2022-09-01,272.5799865722656,277.5799865722656,266.1499938964844,277.1600036621094,277.1600036621094,54287000,0.5623955563764049
2022-09-02,281.07000732421875,282.3500061035156,269.0799865722656,270.2099914550781,270.2099914550781,50890100,-2.507581222110289
2022-09-06,272.67999267578125,275.989990234375,265.739990234375,274.4200134277344,274.4200134277344,55860000,1.5580556255471167
2022-09-07,273.1000061035156,283.8399963378906,272.2699890136719,283.70001220703125,283.70001220703125,50028900,3.381677109982606
2022-09-08,281.29998779296875,289.5,279.760009765625,289.260009765625,289.260009765625,53713100,1.959815762903916
