Date,Open,High,Low,Close,Adj Close,Volume
2022-08-02,10.319999694824219,11.229999542236328,10.260000228881836,10.920000076293945,10.920000076293945,40958800
2022-08-03,11.079999923706055,11.34000015258789,11.039999961853027,11.199999809265137,11.199999809265137,35796500
2022-08-04,11.1899995803833,11.40999984741211,11.029999732971191,11.319999694824219,11.319999694824219,32093400
2022-08-05,11.010000228881836,11.619999885559082,10.850000381469727,11.449999809265137,11.449999809265137,50264800
2022-08-08,9.770000457763672,10.399999618530273,9.710000038146973,9.819999694824219,9.819999694824219,125272600
2022-08-09,9.539999961853027,9.569999694824219,9.010000228881836,9.25,9.25,58788900
2022-08-10,9.510000228881836,9.65999984741211,9.319999694824219,9.59000015258789,9.59000015258789,46054900
2022-08-11,9.760000228881836,10.050000190734863,9.399999618530273,9.420000076293945,9.420000076293945,44790900
2022-08-12,9.550000190734863,9.970000267028809,9.420000076293945,9.90999984741211,9.90999984741211,30638200
2022-08-15,9.819999694824219,10.100000381469727,9.760000228881836,9.90999984741211,9.90999984741211,33263400
2022-08-16,9.850000381469727,9.880000114440918,9.359999656677246,9.739999771118164,9.739999771118164,40603900
2022-08-17,9.5600004196167,9.619000434875488,9.329999923706055,9.430000305175781,9.430000305175781,33933600
2022-08-18,9.420000076293945,9.470000267028809,9.119999885559082,9.149999618530273,9.149999618530273,26365600
2022-08-19,9.0,9.010000228881836,8.479999542236328,8.510000228881836,8.510000228881836,40560200
2022-08-22,8.319999694824219,8.399999618530273,8.0600004196167,8.069999694824219,8.069999694824219,37824900
2022-08-23,8.100000381469727,8.279999732971191,8.0,8.010000228881836,8.010000228881836,25658500
2022-08-24,8.039999961853027,8.359999656677246,7.980000019073486,8.100000381469727,8.100000381469727,26576400
2022-08-25,8.220000267028809,8.430000305175781,8.050000190734863,8.420000076293945,8.420000076293945,25635600
2022-08-26,8.420000076293945,8.430000305175781,7.929999828338623,7.940000057220459,7.940000057220459,34150400
2022-08-29,7.820000171661377,7.998000144958496,7.760000228881836,7.809999942779541,7.809999942779541,28566200
2022-08-30,7.929999828338623,7.974999904632568,7.679999828338623,7.789999961853027,7.789999961853027,27189200
2022-08-31,7.949999809265137,8.0,7.699999809265137,7.71999979019165,7.71999979019165,28691500
2022-09-01,7.610000133514404,7.619999885559082,7.21999979019165,7.489999771118164,7.489999771118164,39079700
2022-09-02,7.670000076293945,7.670000076293945,7.349999904632568,7.400000095367432,7.400000095367432,25965000
2022-09-06,7.449999809265137,7.460000038146973,7.170000076293945,7.28000020980835,7.28000020980835,30429400
