Date,Open,High,Low,Close,Adj Close,Volume,Returns_1,Returns_2,Returns_3,Returns_4,Returns_5
2022-08-02,4104.2099609375,4140.47021484375,4079.81005859375,4091.18994140625,4091.18994140625,4727710000,,,,,
2022-08-03,4107.9599609375,4167.66015625,4107.9599609375,4155.169921875,4155.169921875,4351760000,0.015638477163140152,,,,
2022-08-04,4154.85009765625,4161.2900390625,4135.419921875,4151.93994140625,4151.93994140625,4283320000,-0.0007773401640558397,0.014848980582680804,,,
2022-08-05,4115.8701171875,4151.580078125,4107.31005859375,4145.18994140625,4145.18994140625,4085940000,-0.0016257460597355333,-0.0024018224660825593,0.013199093851271826,,
2022-08-08,4155.93017578125,4186.6201171875,4128.97021484375,4140.06005859375,4140.06005859375,4221090000,-0.0012375507238541195,-0.002861284840376621,-0.0036364008128052516,0.01194520857926773,
2022-08-09,4133.10986328125,4137.2998046875,4112.08984375,4122.47021484375,4122.47021484375,3913090000,-0.004248692893594086,-0.005480985644482295,-0.0070978210134028386,-0.007869643756107658,0.007645764162870439
2022-08-10,4181.02001953125,4211.02978515625,4177.259765625,4210.240234375,4210.240234375,4546010000,0.021290637641290244,0.016951487366849483,0.015692958317534034,0.014041699492648219,0.013253444151605231
2022-08-11,4227.39990234375,4257.91015625,4201.41015625,4207.27001953125,4207.27001953125,4630200000,-0.0007054739583503,0.02057014369252741,0.01623405457560656,0.014976413385761278,0.013326319480974957
2022-08-12,4225.02001953125,4280.47021484375,4219.77978515625,4280.14990234375,4280.14990234375,3788010000,0.017322368774566943,0.016604674336149428,0.03824883608188223,0.03383763563023878,0.03255820911591689
2022-08-15,4269.3701171875,4301.7900390625,4256.89990234375,4297.14013671875,4297.14013671875,3696830000,0.0039695418998517695,0.021360672543074166,0.020640129186511924,0.04237020833918148,0.037941497442516736
2022-08-16,4290.4599609375,4325.27978515625,4277.77001953125,4305.2001953125,4305.2001953125,4329820000,0.0018756797165810912,0.005852667205658468,0.02327641803987679,0.022554523174755703,0.044325360996131824
2022-08-17,4280.39990234375,4302.18017578125,4253.080078125,4274.0400390625,4274.0400390625,3885030000,-0.007237794954094601,-0.005375691022701634,-0.001427488153605161,0.015870153144743826,0.015153483206634899
2022-08-18,4273.1298828125,4292.52978515625,4261.97998046875,4283.740234375,4283.740234375,3340330000,0.002269561170191503,-0.004984660402288732,-0.003118330312118278,0.0008388332449020819,0.01817573259827765
2022-08-19,4266.31005859375,4266.31005859375,4218.7001953125,4228.47998046875,4228.47998046875,3761340000,-0.012900001139847905,-0.010659717311338857,-0.017820359417265452,-0.01597810498738539,-0.01207198884476135
2022-08-22,4195.080078125,4195.080078125,4129.85986328125,4137.990234375,4137.990234375,3907430000,-0.0214000649197158,-0.03402400519770665,-0.03183166358856626,-0.03883906748855914,-0.037036237423077156
2022-08-23,4133.08984375,4159.77001953125,4124.02978515625,4128.72998046875,4128.72998046875,3823520000,-0.0022378626777133093,-0.023590037190844626,-0.03618572682404164,-0.033998291374365164,-0.04099001366670263
2022-08-24,4126.5498046875,4156.56005859375,4119.97021484375,4140.77001953125,4140.77001953125,3583630000,0.0029161604463010526,0.0006717718019626506,-0.020742669077926434,-0.03337508976302561,-0.031181275400611885
2022-08-25,4153.259765625,4200.5400390625,4147.58984375,4199.1201171875,4199.1201171875,3566870000,0.014091605518061545,0.017048859346999068,0.014772843663255486,-0.006943361069902787,-0.019753792844034557
2022-08-26,4198.740234375,4203.0400390625,4057.659912109375,4057.659912109375,4057.659912109375,3832750000,-0.03368805871951874,-0.020071172035602047,-0.017213542347302213,-0.019412883481045196,-0.04039751143398784
