Symbol,Dollar_Symbol,Name
CWT,$CWT,California Water Service Group Common Stock
CX,$CX,Cemex S.A.B. de C.V. Sponsored ADR
CXM,$CXM,Sprinklr Inc. Class A Common Stock
CXT,$CXT,Crane NXT Co. Common Stock
CXW,$CXW,CoreCivic Inc. Common Stock
CYBR,$CYBR,CyberArk Software Ltd. Ordinary Shares
CYD,$CYD,China Yuchai International Limited Common Stock
CYH,$CYH,Community Health Systems Inc. Common Stock
CYRX,$CYRX,CryoPort Inc. Common Stock
CYTK,$CYTK,Cytokinetics Incorporated Common Stock
CZFS,$CZFS,Citizens Financial Services Inc. Common Stock
CZNC,$CZNC,Citizens & Northern Corp Common Stock
CZR,$CZR,Caesars Entertainment Inc. Common Stock
$D,$D,Dominion Energy Inc. Common Stock
DAC,$DAC,Danaos Corporation Common Stock
DADA,$DADA,Dada Nexus Limited American Depositary Shares
DAKT,$DAKT,Daktronics Inc. Common Stock
DAL,$DAL,Delta Air Lines Inc. Common Stock
DAN,$DAN,Dana Incorporated Common Stock 
DAO,$DAO,Youdao Inc. American Depositary Shares each representing one Class A Ordinary Share
DAR,$DAR,Darling Ingredients Inc. Common Stock
DASH,$DASH,DoorDash Inc. Class A Common Stock
DAVA,$DAVA,Endava plc American Depositary Shares (each representing one Class A Ordinary Share)
DAWN,$DAWN,Day One Biopharmaceuticals Inc. Common Stock
DB,$DB,Deutsche Bank AG Common Stock
DBI,$DBI,Designer Brands Inc. Class A Common Stock
DBRG,$DBRG,DigitalBridge Group Inc.
DBX,$DBX,Dropbox Inc. Class A Common Stock
DCBO,$DCBO,Docebo Inc. Common Shares
DCGO,$DCGO,DocGo Inc. Common Stock
DCI,$DCI,Donaldson Company Inc. Common Stock
DCO,$DCO,Ducommun Incorporated Common Stock
DCOM,$DCOM,Dime Community Bancshares Inc. Common Stock
DCOMP,$DCOMP,Dime Community Bancshares Inc. Fixed-Rate Non-Cumulative Perpetual Preferred Stock Series A
DCPH,$DCPH,Deciphera Pharmaceuticals Inc. Common Stock
DD,$DD,DuPont de Nemours Inc. Common Stock
DDD,$DDD,3D Systems Corporation Common Stock
DDI,$DDI,DoubleDown Interactive Co. Ltd. American Depository Shares
DDL,$DDL,Dingdong (Cayman) Limited American Depositary Shares (each two representing three Ordinary Shares)
DDOG,$DDOG,Datadog Inc. Class A Common Stock
DDS,$DDS,Dillard's Inc. Common Stock
DDT,$DDT,Dillard's Capital Trust I
DE,$DE,Deere & Company Common Stock
DEA,$DEA,Easterly Government Properties Inc. Common Stock
DECK,$DECK,Deckers Outdoor Corporation Common Stock
DEI,$DEI,Douglas Emmett Inc. Common Stock
DELL,$DELL,Dell Technologies Inc. Class C Common Stock 
DEN,$DEN,Denbury Inc. Common Stock
DENN,$DENN,Denny's Corporation Common Stock
DEO,$DEO,Diageo plc Common Stock
DESP,$DESP,Despegar.com Corp. Ordinary Shares
DFH,$DFH,Dream Finders Homes Inc. Class A Common Stock
DFIN,$DFIN,Donnelley Financial Solutions Inc. Common Stock 
DFS,$DFS,Discover Financial Services Common Stock
DG,$DG,Dollar General Corporation Common Stock
DGICA,$DGICA,Donegal Group Inc. Class A Common Stock
DGICB,$DGICB,Donegal Group Inc. Class B Common Stock
DGII,$DGII,Digi International Inc. Common Stock
DGX,$DGX,Quest Diagnostics Incorporated Common Stock
DH,$DH,Definitive Healthcare Corp. Class A Common Stock
DHC,$DHC,Diversified Healthcare Trust Common Shares of Beneficial Interest
DHCNI,$DHCNI,Diversified Healthcare Trust 5.625% Senior Notes due 2042
DHCNL,$DHCNL,Diversified Healthcare Trust 6.25% Senior Notes Due 2046
DHI,$DHI,D.R. Horton Inc. Common Stock
DHIL,$DHIL,Diamond Hill Investment Group Inc. Class A Common Stock
DHR,$DHR,Danaher Corporation Common Stock
DHT,$DHT,DHT Holdings Inc.
DICE,$DICE,DICE Therapeutics Inc. Common Stock
DIN,$DIN,Dine Brands Global Inc. Common Stock
DINO,$DINO,HF Sinclair Corporation Common Stock
DIOD,$DIOD,Diodes Incorporated Common Stock
DIS,$DIS,Walt Disney Company (The) Common Stock
DISH,$DISH,DISH Network Corporation Class A Common Stock
DJCO,$DJCO,Daily Journal Corp. (S.C.) Common Stock
DK,$DK,Delek US Holdings Inc. Common Stock
DKL,$DKL,Delek Logistics Partners L.P. Common Units representing Limited Partner Interests
DKNG,$DKNG,DraftKings Inc. Class A Common Stock
DKS,$DKS,Dick's Sporting Goods Inc Common Stock
DLB,$DLB,Dolby Laboratories Common Stock
DLO,$DLO,DLocal Limited Class A Common Shares
DLR,$DLR,Digital Realty Trust Inc. Common Stock
DLTR,$DLTR,Dollar Tree Inc. Common Stock
DLX,$DLX,Deluxe Corporation Common Stock
DLY,$DLY,DoubleLine Yield Opportunities Fund Common Shares of Beneficial Interest
DM,$DM,Desktop Metal Inc. Class A Common Stock
DMLP,$DMLP,Dorchester Minerals L.P. Common Units Representing Limited Partnership Interests
DMRC,$DMRC,Digimarc Corporation Common Stock
DNA,$DNA,Ginkgo Bioworks Holdings Inc. Class A Common Stock
DNB,$DNB,Dun & Bradstreet Holdings Inc. Common Stock
DNLI,$DNLI,Denali Therapeutics Inc. Common Stock
DNN,$DNN,Denison Mines Corp Ordinary Shares (Canada)
DNOW,$DNOW,NOW Inc. Common Stock
DNUT,$DNUT,Krispy Kreme Inc. Common Stock
$DO,$DO,Diamond Offshore Drilling Inc. Common Stock
DOC,$DOC,Physicians Realty Trust Common Shares of Beneficial Interest
DOCN,$DOCN,DigitalOcean Holdings Inc. Common Stock
DOCS,$DOCS,Doximity Inc. Class A Common Stock
DOCU,$DOCU,DocuSign Inc. Common Stock
DOLE,$DOLE,Dole plc Ordinary Shares
DOMO,$DOMO,Domo Inc. Class B Common Stock
DOOO,$DOOO,BRP Inc. (Recreational Products) Common Subordinate Voting Shares
DOOR,$DOOR,Masonite International Corporation Ordinary Shares (Canada)
DORM,$DORM,Dorman Products Inc. Common Stock
DOV,$DOV,Dover Corporation Common Stock
DOW,$DOW,Dow Inc. Common Stock 
DOX,$DOX,Amdocs Limited Ordinary Shares
DOYU,$DOYU,DouYu International Holdings Limited ADS
DPZ,$DPZ,Domino's Pizza Inc Common Stock
DQ,$DQ,DAQO New Energy Corp. American Depositary Shares each representing five ordinary shares
DRD,$DRD,DRDGOLD Limited American Depositary Shares
DRH,$DRH,Diamondrock Hospitality Company Common Stock
DRI,$DRI,Darden Restaurants Inc. Common Stock
DRQ,$DRQ,Dril-Quip Inc. Common Stock
DRS,$DRS,Leonardo DRS Inc. Common Stock
DRVN,$DRVN,Driven Brands Holdings Inc. Common Stock
DSGN,$DSGN,Design Therapeutics Inc. Common Stock
DSGR,$DSGR,Distribution Solutions Group Inc. Common Stock
DSGX,$DSGX,Descartes Systems Group Inc. (The) Common Stock
DSKE,$DSKE,Daseke Inc. Common Stock
DSL,$DSL,DoubleLine Income Solutions Fund Common Shares of Beneficial Interests
DSP,$DSP,Viant Technology Inc. Class A Common Stock
DSX,$DSX,Diana Shipping inc. common stock
DT,$DT,Dynatrace Inc. Common Stock
DTB,$DTB,DTE Energy Company 2020 Series G 4.375% Junior Subordinated Debentures due 2080
DTC,$DTC,Solo Brands Inc. Class A Common Stock
DTE,$DTE,DTE Energy Company Common Stock
DTG,$DTG,DTE Energy Company 2021 Series E 4.375% Junior Subordinated Debentures
DTM,$DTM,DT Midstream Inc. Common Stock 
DTW,$DTW,DTE Energy Company 2017 Series E 5.25% Junior Subordinated Debentures due 2077
DUK,$DUK,Duke Energy Corporation (Holding Company) Common Stock
DUKB,$DUKB,Duke Energy Corporation 5.625% Junior Subordinated Debentures due 2078
DUOL,$DUOL,Duolingo Inc. Class A Common Stock
DV,$DV,DoubleVerify Holdings Inc. Common Stock
DVA,$DVA,DaVita Inc. Common Stock
DVAX,$DVAX,Dynavax Technologies Corporation Common Stock
DVN,$DVN,Devon Energy Corporation Common Stock
DWAC,$DWAC,Digital World Acquisition Corp. Class A Common Stock
DWACU,$DWACU,Digital World Acquisition Corp. Units
DX,$DX,Dynex Capital Inc. Common Stock
DXC,$DXC,DXC Technology Company Common Stock 
DXCM,$DXCM,DexCom Inc. Common Stock
DXLG,$DXLG,Destination XL Group Inc. Common Stock
DXPE,$DXPE,DXP Enterprises Inc. Common Stock
DY,$DY,Dycom Industries Inc. Common Stock
DYN,$DYN,Dyne Therapeutics Inc. Common Stock
$E,$E,ENI S.p.A. Common Stock
EA,$EA,Electronic Arts Inc. Common Stock
EAF,$EAF,GrafTech International Ltd. Common Stock
EAI,$EAI,Entergy Arkansas LLC First Mortgage Bonds 4.875% Series Due September 1 2066
EAT,$EAT,Brinker International Inc. Common Stock
EB,$EB,Eventbrite Inc. Class A Common Stock
EBAY,$EBAY,eBay Inc. Common Stock
EBC,$EBC,Eastern Bankshares Inc. Common Stock
EBF,$EBF,Ennis Inc. Common Stock
EBIX,$EBIX,Ebix Inc. Common Stock
EBR,$EBR,Centrais Electricas Brasileiras S A American Depositary Shares (Each representing one Common Share)
EBS,$EBS,Emergent Biosolutions Inc. Common Stock
EBTC,$EBTC,Enterprise Bancorp Inc Common Stock
EC,$EC,Ecopetrol S.A. American Depositary Shares
ECAT,$ECAT,BlackRock ESG Capital Allocation Term Trust Common Shares of Beneficial Interest
ECCC,$ECCC,Eagle Point Credit Company Inc. 6.50% Series C Term Preferred Stock due 2031
ECCV,$ECCV,Eagle Point Credit Company Inc. 5.375% Notes due 2029
ECCW,$ECCW,Eagle Point Credit Company Inc. 6.75% Notes due 2031
ECCX,$ECCX,Eagle Point Credit Company Inc. 6.6875% Notes due 2028
ECL,$ECL,Ecolab Inc. Common Stock
ECPG,$ECPG,Encore Capital Group Inc Common Stock
ECVT,$ECVT,Ecovyst Inc. Common Stock
ECX,$ECX,ECARX Holdings Inc. Class A Ordinary shares
ED,$ED,Consolidated Edison Inc. Common Stock
EDAP,$EDAP,EDAP TMS S.A. American Depositary Shares
EDIT,$EDIT,Editas Medicine Inc. Common Stock
EDN,$EDN,Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor) American Depositary Shares
EDR,$EDR,Endeavor Group Holdings Inc. Class A Common Stock
EDU,$EDU,New Oriental Education & Technology Group Inc. Sponsored ADR representing 10 Ordinary Share (Cayman Islands)
EE,$EE,Excelerate Energy Inc. Class A Common Stock
EEFT,$EEFT,Euronet Worldwide Inc. Common Stock
EEX,$EEX,Emerald Holding Inc. Common Stock
EFC,$EFC,Ellington Financial Inc. Common Stock 
EFSC,$EFSC,Enterprise Financial Services Corporation Common Stock
EFSCP,$EFSCP,Enterprise Financial Services Corporation Depositary Shares Each Representing a 1/40th Interest in a Share of 5% Fixed Rate Non-Cumulative Perpetual Preferred Stock Series A
EFT,$EFT,Eaton Vance Floating Rate Income Trust Common Shares of Beneficial Interest
EFX,$EFX,Equifax Inc. Common Stock
EFXT,$EFXT,Enerflex Ltd Common Shares
EG,$EG,Everest Group Ltd. Common Stock
EGBN,$EGBN,Eagle Bancorp Inc. Common Stock
EGHT,$EGHT,8x8 Inc Common Stock
EGLE,$EGLE,Eagle Bulk Shipping Inc. Common Stock
EGO,$EGO,Eldorado Gold Corporation Ordinary Shares
EGP,$EGP,EastGroup Properties Inc. Common Stock
EGY,$EGY,VAALCO Energy Inc.  Common Stock
EH,$EH,EHang Holdings Limited ADS
EHAB,$EHAB,Enhabit Inc. Common Stock
EHC,$EHC,Encompass Health Corporation Common Stock
EICA,$EICA,Eagle Point Income Company Inc. 5.00% Series A Term Preferred Stock due 2026
EIG,$EIG,Employers Holdings Inc Common Stock
EIX,$EIX,Edison International Common Stock
EL,$EL,Estee Lauder Companies Inc. (The) Common Stock
ELAN,$ELAN,Elanco Animal Health Incorporated Common Stock
ELC,$ELC,Entergy Louisiana Inc. Collateral Trust Mortgage Bonds 4.875 % Series due September 1 2066
ELF,$ELF,e.l.f. Beauty Inc. Common Stock
ELME,$ELME,Elme Communities Common Stock
ELP,$ELP,Companhia Paranaense de Energia (COPEL) American Depositary Shares (each representing one Unit consisting one Common Share and four non-voting Class B Preferred Shares)
ELS,$ELS,Equity Lifestyle Properties Inc. Common Stock
ELV,$ELV,Elevance Health Inc. Common Stock
ELVN,$ELVN,Enliven Therapeutics Inc. Common Stock
EMBC,$EMBC,Embecta Corp. Common Stock
EME,$EME,EMCOR Group Inc. Common Stock
EMN,$EMN,Eastman Chemical Company Common Stock
EMP,$EMP,Entergy Mississippi LLC First Mortgage Bonds 4.90% Series Due October 1 2066
EMR,$EMR,Emerson Electric Company Common Stock
ENB,$ENB,Enbridge Inc Common Stock
ENFN,$ENFN,Enfusion Inc. Class A Common Stock
ENIC,$ENIC,Enel Chile S.A. American Depositary Shares (Each representing 50 shares of Common Stock)
ENJ,$ENJ,Entergy New Orleans LLC First Mortgage Bonds 5.0% Series due December 1 2052
ENLC,$ENLC,EnLink Midstream LLC Common Units representing Limited Partner Interests
ENLT,$ENLT,Enlight Renewable Energy Ltd. Ordinary Shares
ENO,$ENO,Entergy New Orleans LLC First Mortgage Bonds 5.50% Series due April 1 2066
ENOV,$ENOV,Enovis Corporation Common Stock
ENPH,$ENPH,Enphase Energy Inc. Common Stock
ENR,$ENR,Energizer Holdings Inc. Common Stock
ENS,$ENS,EnerSys Common Stock
ENSG,$ENSG,The Ensign Group Inc. Common Stock
ENTA,$ENTA,Enanta Pharmaceuticals Inc. Common Stock
ENTG,$ENTG,Entegris Inc. Common Stock
ENV,$ENV,Envestnet Inc Common Stock
ENVA,$ENVA,Enova International Inc. Common Stock
ENVX,$ENVX,Enovix Corporation Common Stock
EOG,$EOG,EOG Resources Inc. Common Stock
EOLS,$EOLS,Evolus Inc. Common Stock
EPAC,$EPAC,Enerpac Tool Group Corp. Common Stock
EPAM,$EPAM,EPAM Systems Inc. Common Stock
EPC,$EPC,Edgewell Personal Care Company Common Stock
EPD,$EPD,Enterprise Products Partners L.P. Common Stock
EPM,$EPM,Evolution Petroleum Corporation Inc. Common Stock
EPR,$EPR,EPR Properties Common Stock
EPRT,$EPRT,Essential Properties Realty Trust Inc. Common Stock
EQBK,$EQBK,Equity Bancshares Inc. Class A Common Stock
EQC,$EQC,Equity Commonwealth Common Shares of Beneficial Interest
EQH,$EQH,Equitable Holdings Inc. Common Stock
EQIX,$EQIX,Equinix Inc. Common Stock REIT
EQNR,$EQNR,Equinor ASA
EQR,$EQR,Equity Residential Common Shares of Beneficial Interest
EQRX,$EQRX,EQRx Inc.  Common Stock
EQT,$EQT,EQT Corporation Common Stock
EQX,$EQX,Equinox Gold Corp. Common Shares
ERAS,$ERAS,Erasca Inc. Common Stock
ERF,$ERF,Enerplus Corporation Common Stock
ERIC,$ERIC,Ericsson American Depositary Shares
ERIE,$ERIE,Erie Indemnity Company Class A Common Stock
ERII,$ERII,Energy Recovery Inc. Common Stock
ERJ,$ERJ,Embraer S.A. Common Stock
ERO,$ERO,Ero Copper Corp. Common Shares
ES,$ES,Eversource Energy (D/B/A) Common Stock
ESAB,$ESAB,ESAB Corporation Common Stock
ESE,$ESE,ESCO Technologies Inc. Common Stock
ESGR,$ESGR,Enstar Group Limited Ordinary Shares
ESGRO,$ESGRO,Enstar Group Limited Depository Shares 7.00% Perpetual Non-Cumulative Preference Shares Series E
ESGRP,$ESGRP,Enstar Group Limited Depositary Shares Each Representing 1/1000th of an interest in Preference Shares
ESI,$ESI,Element Solutions Inc. Common Stock
ESLT,$ESLT,Elbit Systems Ltd. Ordinary Shares
ESMT,$ESMT,EngageSmart Inc. Common Stock
ESNT,$ESNT,Essent Group Ltd. Common Shares
ESQ,$ESQ,Esquire Financial Holdings Inc. Common Stock
ESRT,$ESRT,Empire State Realty Trust Inc. Class A Common Stock
ESS,$ESS,Essex Property Trust Inc. Common Stock
ESTA,$ESTA,Establishment Labs Holdings Inc. Common Shares
ESTC,$ESTC,Elastic N.V. Ordinary Shares
ESTE,$ESTE,Earthstone Energy Inc. Class A Common Stock
ET,$ET,Energy Transfer LP Common Units 
ETB,$ETB,Eaton Vance Tax-Managed Buy-Write Income Fund Eaton Vance Tax-Managed Buy-Write Income Fund Common Shares of Beneficial Interest
ETD,$ETD,Ethan Allen Interiors Inc. Common Stock
ETN,$ETN,Eaton Corporation PLC Ordinary Shares
ETNB,$ETNB,89bio Inc. Common Stock
ETO,$ETO,Eaton Vance Tax-Advantage Global Dividend Opp Common Stock
ETR,$ETR,Entergy Corporation Common Stock
ETRN,$ETRN,Equitrans Midstream Corporation Common Stock 
ETSY,$ETSY,Etsy Inc. Common Stock
ETV,$ETV,Eaton Vance Corporation Eaton Vance Tax-Managed Buy-Write Opportunities Fund Common Shares of Beneficial Interest
ETW,$ETW,Eaton Vance Corporation Eaton Vance Tax-Managed Global Buy-Write Opportunites Fund Common Shares of Beneficial Interest
ETWO,$ETWO,E2open Parent Holdings Inc.Class A Common Stock
EU,$EU,enCore Energy Corp. Common Shares
EURN,$EURN,Euronav NV Ordinary Shares
EVA,$EVA,Enviva Inc. Common Stock
EVBG,$EVBG,Everbridge Inc. Common Stock
EVC,$EVC,Entravision Communications Corporation Common Stock
EVCM,$EVCM,EverCommerce Inc. Common Stock
EVEX,$EVEX,Eve Holding Inc. Common Stock
EVGO,$EVGO,EVgo Inc. Class A Common Stock
EVH,$EVH,Evolent Health Inc Class A Common Stock
EVI,$EVI,EVI Industries Inc.  Common Stock
EVLV,$EVLV,Evolv Technologies Holdings Inc. Class A Common Stock
EVN,$EVN,Eaton Vance Municipal Income Trust Common Stock
EVO,$EVO,Evotec SE American Depositary Shares
EVR,$EVR,Evercore Inc. Class A Common Stock
EVRG,$EVRG,Evergy Inc. Common Stock
EVRI,$EVRI,Everi Holdings Inc. Common Stock
EVTC,$EVTC,Evertec Inc. Common Stock
EVTL,$EVTL,Vertical Aerospace Ltd. Ordinary Shares
EW,$EW,Edwards Lifesciences Corporation Common Stock
EWBC,$EWBC,East West Bancorp Inc. Common Stock
EWCZ,$EWCZ,European Wax Center Inc. Class A Common Stock
EWTX,$EWTX,Edgewise Therapeutics Inc. Common Stock
EXAI,$EXAI,Exscientia Plc American Depositary Shares
EXAS,$EXAS,Exact Sciences Corporation Common Stock
EXC,$EXC,Exelon Corporation Common Stock
EXEL,$EXEL,Exelixis Inc. Common Stock
EXFY,$EXFY,Expensify Inc. Class A Common Stock
EXK,$EXK,Endeavour Silver Corporation Ordinary Shares (Canada)
EXLS,$EXLS,ExlService Holdings Inc. Common Stock
EXP,$EXP,Eagle Materials Inc Common Stock
EXPD,$EXPD,Expeditors International of Washington Inc. Common Stock
EXPE,$EXPE,Expedia Group Inc. Common Stock
EXPI,$EXPI,eXp World Holdings Inc. Common Stock
EXPO,$EXPO,Exponent Inc. Common Stock
EXR,$EXR,Extra Space Storage Inc Common Stock
EXTR,$EXTR,Extreme Networks Inc. Common Stock
EYE,$EYE,National Vision Holdings Inc. Common Stock
EYPT,$EYPT,EyePoint Pharmaceuticals Inc. Common Stock
EZPW,$EZPW,EZCORP Inc. Class A Non Voting Common Stock
$F,$F,Ford Motor Company Common Stock
FA,$FA,First Advantage Corporation Common Stock
FAF,$FAF,First American Corporation (New) Common Stock
FANG,$FANG,Diamondback Energy Inc. Common Stock
FANH,$FANH,Fanhua Inc. American Depositary Shares
FARO,$FARO,FARO Technologies Inc. Common Stock
FAST,$FAST,Fastenal Company Common Stock
FATBP,$FATBP,FAT Brands Inc. 8.25% Series B Cumulative Preferred Stock
FATE,$FATE,Fate Therapeutics Inc. Common Stock
FBIN,$FBIN,Fortune Brands Innovations Inc. Common Stock
FBIOP,$FBIOP,Fortress Biotech Inc. 9.375% Series A Cumulative Redeemable Perpetual Preferred Stock
FBK,$FBK,FB Financial Corporation Common Stock
FBMS,$FBMS,First Bancshares Inc.
FBNC,$FBNC,First Bancorp Common Stock
FBP,$FBP,First BanCorp. New Common Stock
FBRT,$FBRT,Franklin BSP Realty Trust Inc. Common Stock
FC,$FC,Franklin Covey Company Common Stock
FCBC,$FCBC,First Community Bankshares Inc. (VA) Common Stock
FCEL,$FCEL,FuelCell Energy Inc. Common Stock
FCF,$FCF,First Commonwealth Financial Corporation Common Stock
FCFS,$FCFS,FirstCash Holdings Inc. Common Stock
FCN,$FCN,FTI Consulting Inc. Common Stock
FCNCA,$FCNCA,First Citizens BancShares Inc. Class A Common Stock
FCNCO,$FCNCO,First Citizens BancShares Inc. 5.625% Non-Cumulative Perpetual Preferred Stock Series C
FCPT,$FCPT,Four Corners Property Trust Inc. Common Stock
FCRX,$FCRX,Crescent Capital BDC Inc. 5.00% Notes due 2026
FCX,$FCX,Freeport-McMoRan Inc. Common Stock
FDMT,$FDMT,4D Molecular Therapeutics Inc. Common Stock
FDP,$FDP,Fresh Del Monte Produce Inc. Common Stock
FDS,$FDS,FactSet Research Systems Inc. Common Stock
FDUS,$FDUS,Fidus Investment Corporation Common Stock
FDX,$FDX,FedEx Corporation Common Stock
FE,$FE,FirstEnergy Corp. Common Stock
FELE,$FELE,Franklin Electric Co. Inc. Common Stock
FERG,$FERG,Ferguson plc Ordinary Shares
FF,$FF,FutureFuel Corp.  Common shares
FFBC,$FFBC,First Financial Bancorp. Common Stock
FFIC,$FFIC,Flushing Financial Corporation Common Stock
FFIE,$FFIE,Faraday Future Intelligent Electric Inc. Common Stock
FFIN,$FFIN,First Financial Bankshares Inc. Common Stock
FFIV,$FFIV,F5 Inc. Common Stock
FFWM,$FFWM,First Foundation Inc. Common Stock
FG,$FG,F&G Annuities & Life Inc. Common Stock
FHB,$FHB,First Hawaiian Inc. Common Stock
FHI,$FHI,Federated Hermes Inc. Common Stock
FHN,$FHN,First Horizon Corporation Common Stock
FHTX,$FHTX,Foghorn Therapeutics Inc. Common Stock
FI,$FI,Fiserv Inc. Common Stock
FIBK,$FIBK,First Interstate BancSystem Inc. Common Stock (DE)
FICO,$FICO,Fair Isaac Corproation Common Stock
FIGS,$FIGS,FIGS Inc. Class A Common Stock
FINV,$FINV,FinVolution Group American Depositary Shares
FIP,$FIP,FTAI Infrastructure Inc. Common Stock 
FIS,$FIS,Fidelity National Information Services Inc. Common Stock
FITB,$FITB,Fifth Third Bancorp Common Stock
FITBI,$FITBI,Fifth Third Bancorp Depositary Shares
FITBO,$FITBO,Fifth Third Bancorp Depositary Shares each representing a 1/1000th ownership interest in a share of Non-Cumulative Perpetual Preferred Stock Series K
FITBP,$FITBP,Fifth Third Bancorp Depositary Shares each representing 1/40th share of Fifth Third 6.00% Non-Cumulative Perpetual Class B Preferred Stock Series A
FIVE,$FIVE,Five Below Inc. Common Stock
FIVN,$FIVN,Five9 Inc. Common Stock
FIX,$FIX,Comfort Systems USA Inc. Common Stock
FIZZ,$FIZZ,National Beverage Corp. Common Stock
FL,$FL,Foot Locker Inc.
FLEX,$FLEX,Flex Ltd. Ordinary Shares
FLGT,$FLGT,Fulgent Genetics Inc. Common Stock
FLIC,$FLIC,First of Long Island Corporation (The) Common Stock
FLNC,$FLNC,Fluence Energy Inc. Class A Common Stock
FLNG,$FLNG,FLEX LNG Ltd. Ordinary Shares
FLO,$FLO,Flowers Foods Inc. Common Stock
FLR,$FLR,Fluor Corporation Common Stock
FLS,$FLS,Flowserve Corporation Common Stock
FLT,$FLT,FleetCor Technologies Inc. Common Stock
FLWS,$FLWS,1-800-FLOWERS.COM Inc. Common Stock
FLYW,$FLYW,Flywire Corporation Voting Common Stock
FMBH,$FMBH,First Mid Bancshares Inc. Common Stock
FMC,$FMC,FMC Corporation Common Stock
FMN,$FMN,Federated Hermes Premier Municipal Income Fund
FMNB,$FMNB,Farmers National Banc Corp. Common Stock
FMS,$FMS,Fresenius Medical Care AG Common Stock
FMX,$FMX,Fomento Economico Mexicano S.A.B. de C.V. Common Stock
FN,$FN,Fabrinet Ordinary Shares
FNA,$FNA,Paragon 28 Inc. Common Stock
FNB,$FNB,F.N.B. Corporation Common Stock
FND,$FND,Floor & Decor Holdings Inc. Common Stock
FNF,$FNF,FNF Group of Fidelity National Financial Inc. Common Stock
FNGR,$FNGR,FingerMotion Inc. Common Stock
FNKO,$FNKO,Funko Inc. Class A Common Stock
FNV,$FNV,Franco-Nevada Corporation
FOCS,$FOCS,Focus Financial Partners Inc. Class A Common Stock
FOF,$FOF,Cohen & Steers Closed-End Opportunity Fund Inc. Common Stock
FOLD,$FOLD,Amicus Therapeutics Inc. Common Stock
FOR,$FOR,Forestar Group Inc Common Stock 
FORG,$FORG,ForgeRock Inc. Class A Common Stock
FORM,$FORM,FormFactor Inc. FormFactor Inc. Common Stock
FORR,$FORR,Forrester Research Inc. Common Stock
FORTY,$FORTY,Formula Systems (1985) Ltd. American Depositary Shares
FOSLL,$FOSLL,Fossil Group Inc. 7% Senior Notes due 2026
FOUR,$FOUR,Shift4 Payments Inc. Class A Common Stock
FOX,$FOX,Fox Corporation Class B Common Stock
FOXA,$FOXA,Fox Corporation Class A Common Stock
FOXF,$FOXF,Fox Factory Holding Corp. Common Stock
FPH,$FPH,Five Point Holdings LLC Class A Common Shares
FPI,$FPI,Farmland Partners Inc. Common Stock
FR,$FR,First Industrial Realty Trust Inc. Common Stock
FRA,$FRA,Blackrock Floating Rate Income Strategies Fund Inc  Common Stock
FREY,$FREY,FREYR Battery Ordinary Shares
FRG,$FRG,Franchise Group Inc. Common Stock
FRGAP,$FRGAP,Franchise Group Inc. 7.50% Series A Cumulative Perpetual Preferred Stock
FRGE,$FRGE,Forge Global Holdings Inc. Common Stock
FRHC,$FRHC,Freedom Holding Corp. Common Stock
FRME,$FRME,First Merchants Corporation Common Stock
FRMEP,$FRMEP,First Merchants Corporation Depository Shares
FRO,$FRO,Frontline Plc Ordinary Shares
FROG,$FROG,JFrog Ltd. Ordinary Shares
FRPH,$FRPH,FRP Holdings Inc. Common Stock
FRPT,$FRPT,Freshpet Inc. Common Stock
FRSH,$FRSH,Freshworks Inc. Class A Common Stock
FRT,$FRT,Federal Realty Investment Trust Common Stock
FSBC,$FSBC,Five Star Bancorp Common Stock
FSCO,$FSCO,FS Credit Opportunities Corp. Common Stock
FSK,$FSK,FS KKR Capital Corp. Common Stock
FSLR,$FSLR,First Solar Inc. Common Stock
FSLY,$FSLY,Fastly Inc. Class A Common Stock
FSM,$FSM,Fortuna Silver Mines Inc Ordinary Shares (Canada)
FSR,$FSR,Fisker Inc. Class A Common Stock
FSS,$FSS,Federal Signal Corporation Common Stock
FSV,$FSV,FirstService Corporation Common Shares
FTAI,$FTAI,FTAI Aviation Ltd. Common Stock
FTAIN,$FTAIN,FTAI Aviation Ltd. 8.25% Fixed - Rate Reset Series C Cumulative Perpetual Redeemable Preferred Shares
FTAIO,$FTAIO,FTAI Aviation Ltd. 8.00% Fixed-to-Floating Rate Series B Cumulative Perpetual Redeemable Preferred Shares
FTAIP,$FTAIP,FTAI Aviation Ltd. 8.25% Fixed to Floating Rate Series A Cumulative Perpetual Redeemable Preferred Shares
FTCH,$FTCH,Farfetch Limited Class A Ordinary Shares
FTCI,$FTCI,FTC Solar Inc. Common Stock
FTDR,$FTDR,Frontdoor Inc. Common Stock
FTHY,$FTHY,First Trust High Yield Opportunities 2027 Term Fund Common Stock
FTI,$FTI,TechnipFMC plc Ordinary Share
FTNT,$FTNT,Fortinet Inc. Common Stock
FTS,$FTS,Fortis Inc. Common Shares
FTV,$FTV,Fortive Corporation Common Stock 
FUBO,$FUBO,fuboTV Inc. Common Stock
FUL,$FUL,H. B. Fuller Company Common Stock
FULT,$FULT,Fulton Financial Corporation Common Stock
FULTP,$FULTP,Fulton Financial Corporation Depositary Shares Each Representing a 1/40th Interest in a Share of Fixed Rate Non-Cumulative Perpetual Preferred Stock Series A
FUN,$FUN,Cedar Fair L.P. Common Stock
FUTU,$FUTU,Futu Holdings Limited American Depositary Shares
