Symbol,Dollar_Symbol,Name
AGRO,$AGRO,Adecoagro S.A. Common Shares
AGTI,$AGTI,Agiliti Inc. Common Stock
AGX,$AGX,Argan Inc. Common Stock
AGYS,$AGYS,Agilysys Inc. Common Stock (DE)
AHCO,$AHCO,AdaptHealth Corp. Common Stock
AHH,$AHH,Armada Hoffler Properties Inc. Common Stock
$AI,$AI,C3.ai Inc. Class A Common Stock
AIC,$AIC,Arlington Asset Investment Corp 6.750% Notes due 2025
AIG,$AIG,American International Group Inc. New Common Stock
AIN,$AIN,Albany International Corporation Common Stock
AIO,$AIO,Virtus Artificial Intelligence & Technology Opportunities Fund Common Shares of Beneficial Interest
AIR,$AIR,AAR Corp. Common Stock
AIRC,$AIRC,Apartment Income REIT Corp. Common Stock
AIRS,$AIRS,AirSculpt Technologies Inc. Common Stock
AIT,$AIT,Applied Industrial Technologies Inc. Common Stock
AIU,$AIU,Meta Data Limited ADS
AIV,$AIV,Apartment Investment and Management Company Common Stock
AIXI,$AIXI,XIAO-I Corporation American Depositary Shares
AIZ,$AIZ,Assurant Inc. Common Stock
AIZN,$AIZN,Assurant Inc. 5.25% Subordinated Notes due 2061
AJG,$AJG,Arthur J. Gallagher & Co. Common Stock
AJXA,$AJXA,Great Ajax Corp. 7.25% Convertible Senior Notes due 2024
AKAM,$AKAM,Akamai Technologies Inc. Common Stock
AKBA,$AKBA,Akebia Therapeutics Inc. Common Stock
AKR,$AKR,Acadia Realty Trust Common Stock
AKRO,$AKRO,Akero Therapeutics Inc. Common Stock
AL,$AL,Air Lease Corporation Class A Common Stock
ALB,$ALB,Albemarle Corporation Common Stock
ALC,$ALC,Alcon Inc. Ordinary Shares
ALDX,$ALDX,Aldeyra Therapeutics Inc. Common Stock
ALE,$ALE,Allete Inc.
ALEC,$ALEC,Alector Inc. Common Stock
ALEX,$ALEX,Alexander & Baldwin Inc. Common Stock REIT Holding Company
ALG,$ALG,Alamo Group Inc. Common Stock
ALGM,$ALGM,Allegro MicroSystems Inc. Common Stock
ALGN,$ALGN,Align Technology Inc. Common Stock
ALGT,$ALGT,Allegiant Travel Company Common Stock
ALHC,$ALHC,Alignment Healthcare Inc. Common Stock
ALIT,$ALIT,Alight Inc. Class A Common Stock
ALK,$ALK,Alaska Air Group Inc. Common Stock
ALKS,$ALKS,Alkermes plc Ordinary Shares
ALKT,$ALKT,Alkami Technology Inc. Common Stock
ALL,$ALL,Allstate Corporation (The) Common Stock
ALLE,$ALLE,Allegion plc Ordinary Shares
ALLG,$ALLG,Allego N.V. Ordinary Share
ALLK,$ALLK,Allakos Inc. Common Stock
ALLO,$ALLO,Allogene Therapeutics Inc. Common Stock
ALLY,$ALLY,Ally Financial Inc. Common Stock
ALNY,$ALNY,Alnylam Pharmaceuticals Inc. Common Stock
ALPN,$ALPN,Alpine Immune Sciences Inc. Common Stock
ALRM,$ALRM,Alarm.com Holdings Inc. Common Stock
ALRS,$ALRS,Alerus Financial Corporation Common Stock
ALSN,$ALSN,Allison Transmission Holdings Inc. Common Stock
ALTG,$ALTG,Alta Equipment Group Inc. Class A Common Stock
ALTI,$ALTI,AlTi Global Inc. Class A Common Stock
ALTO,$ALTO,Alto Ingredients Inc. Common Stock
ALTR,$ALTR,Altair Engineering Inc. Class A Common Stock
ALV,$ALV,Autoliv Inc. Common Stock
ALVO,$ALVO,Alvotech Ordinary Shares
ALVR,$ALVR,AlloVir Inc. Common Stock
ALX,$ALX,Alexander's Inc. Common Stock
AM,$AM,Antero Midstream Corporation Common Stock
AMAL,$AMAL,Amalgamated Financial Corp. Common Stock (DE)
AMAM,$AMAM,Ambrx Biopharma Inc. American Depositary Shares
AMAT,$AMAT,Applied Materials Inc. Common Stock
AMBA,$AMBA,Ambarella Inc. Ordinary Shares
AMBC,$AMBC,Ambac Financial Group Inc. Common Stock
AMBI,$AMBI,Ambipar Emergency Response Class A Ordinary Shares
AMBP,$AMBP,Ardagh Metal Packaging S.A. Ordinary Shares
AMC,$AMC,AMC Entertainment Holdings Inc. Class A Common Stock
AMCR,$AMCR,Amcor plc Ordinary Shares
AMCX,$AMCX,AMC Networks Inc. Class A Common Stock
AMD,$AMD,Advanced Micro Devices Inc. Common Stock
AME,$AME,AMETEK Inc.
AMED,$AMED,Amedisys Inc Common Stock
AMEH,$AMEH,Apollo Medical Holdings Inc. Common Stock
AMG,$AMG,Affiliated Managers Group Inc. Common Stock
AMGN,$AMGN,Amgen Inc. Common Stock
AMH,$AMH,American Homes 4 Rent Common Shares of Beneficial Interest
AMK,$AMK,AssetMark Financial Holdings Inc. Common Stock
AMKR,$AMKR,Amkor Technology Inc. Common Stock
AMLI,$AMLI,American Lithium Corp. Common Stock
AMLX,$AMLX,Amylyx Pharmaceuticals Inc. Common Stock
AMN,$AMN,AMN Healthcare Services Inc AMN Healthcare Services Inc
AMNB,$AMNB,American National Bankshares Inc. Common Stock
AMOT,$AMOT,Allied Motion Technologies Inc.
AMP,$AMP,Ameriprise Financial Inc. Common Stock
AMPH,$AMPH,Amphastar Pharmaceuticals Inc. Common Stock
AMPL,$AMPL,Amplitude Inc. Class A Common Stock
AMPS,$AMPS,Altus Power Inc. Class A Common Stock
AMPX,$AMPX,Amprius Technologies Inc. Common Stock
AMR,$AMR,Alpha Metallurgical Resources Inc. Common Stock
AMRC,$AMRC,Ameresco Inc. Class A Common Stock
AMRK,$AMRK,A-Mark Precious Metals Inc. Common Stock
AMRN,$AMRN,Amarin Corporation plc
AMRS,$AMRS,Amyris Inc. Common Stock
AMRX,$AMRX,Amneal Pharmaceuticals Inc. Class A Common Stock
AMSF,$AMSF,AMERISAFE Inc. Common Stock
AMSWA,$AMSWA,American Software Inc. Class A Common Stock
AMT,$AMT,American Tower Corporation (REIT) Common Stock
AMTB,$AMTB,Amerant Bancorp Inc. Class A Common Stock
AMWD,$AMWD,American Woodmark Corporation Common Stock
AMWL,$AMWL,American Well Corporation Class A Common Stock
AMX,$AMX,America Movil S.A.B. de C.V. American Depositary Shares (each representing the right to receive twenty (20) Series B Shares
AMZN,$AMZN,Amazon.com Inc. Common Stock
AN,$AN,AutoNation Inc. Common Stock
ANAB,$ANAB,AnaptysBio Inc. Common Stock
ANDE,$ANDE,Andersons Inc. (The) Common Stock
ANET,$ANET,Arista Networks Inc. Common Stock
ANF,$ANF,Abercrombie & Fitch Company Common Stock
ANGI,$ANGI,Angi Inc. Class A Common Stock
ANGO,$ANGO,AngioDynamics Inc. Common Stock
ANIK,$ANIK,Anika Therapeutics Inc. Common Stock
ANIP,$ANIP,ANI Pharmaceuticals Inc.
ANSS,$ANSS,ANSYS Inc. Common Stock
AON,$AON,Aon plc Class A Ordinary Shares (Ireland)
AORT,$AORT,Artivion Inc. Common Stock
AOS,$AOS,A.O. Smith Corporation Common Stock
AOSL,$AOSL,Alpha and Omega Semiconductor Limited Common Shares
APA,$APA,APA Corporation Common Stock
APAM,$APAM,Artisan Partners Asset Management Inc. Class A Common Stock
APD,$APD,Air Products and Chemicals Inc. Common Stock
APE,$APE,AMC Entertainment Holdings Inc. AMC Preferred Equity Units each constituting a depositary share representing a 1/100th interest in a share of Series A Convertible Participating Preferred Stock
APG,$APG,APi Group Corporation Common Stock
APH,$APH,Amphenol Corporation Common Stock
API,$API,Agora Inc. American Depositary Shares
APLD,$APLD,Applied Digital Corporation Common Stock
APLE,$APLE,Apple Hospitality REIT Inc. Common Shares
APLM,$APLM,Apollomics Inc. Class A Ordinary Shares
APLS,$APLS,Apellis Pharmaceuticals Inc. Common Stock
APO,$APO,Apollo Global Management Inc. (New) Common Stock
APOG,$APOG,Apogee Enterprises Inc. Common Stock
APP,$APP,Applovin Corporation Class A Common Stock
APPF,$APPF,AppFolio Inc. Class A Common Stock
APPN,$APPN,Appian Corporation Class A Common Stock
APPS,$APPS,Digital Turbine Inc. Common Stock
APRN,$APRN,Blue Apron Holdings Inc. Class A Common Stock
APTV,$APTV,Aptiv PLC Ordinary Shares
AQN,$AQN,Algonquin Power & Utilities Corp. Common Shares
AQNB,$AQNB,Algonquin Power & Utilities Corp. 6.20% Fixed-to-Floating Subordinated Notes Series 2019-A due July 1 2079
AR,$AR,Antero Resources Corporation Common Stock
ARAY,$ARAY,Accuray Incorporated Common Stock
ARBKL,$ARBKL,Argo Blockchain plc 8.75% Senior Notes due 2026
ARCB,$ARCB,ArcBest Corporation Common Stock
ARCC,$ARCC,Ares Capital Corporation Common Stock
ARCE,$ARCE,Arco Platform Limited Class A Common Shares
ARCH,$ARCH,Arch Resources Inc. Class A Common Stock
ARCO,$ARCO,Arcos Dorados Holdings Inc. Class A Shares
ARCT,$ARCT,Arcturus Therapeutics Holdings Inc. Common Stock
ARDX,$ARDX,Ardelyx Inc. Common Stock
ARE,$ARE,Alexandria Real Estate Equities Inc. Common Stock
ARES,$ARES,Ares Management Corporation Class A Common Stock
ARGD,$ARGD,Argo Group International Holdings Ltd. 6.5% Senior Notes Due 2042
ARGO,$ARGO,Argo Group International Holdings Ltd.
ARGX,$ARGX,argenx SE American Depositary Shares
ARHS,$ARHS,Arhaus Inc. Class A Common Stock
ARI,$ARI,Apollo Commercial Real Estate Finance Inc
ARIS,$ARIS,Aris Water Solutions Inc. Class A Common Stock
ARKO,$ARKO,ARKO Corp. Common Stock
ARL,$ARL,American Realty Investors Inc. Common Stock
ARLO,$ARLO,Arlo Technologies Inc. Common Stock
ARLP,$ARLP,Alliance Resource Partners L.P. Common Units representing Limited Partners Interests
ARMK,$ARMK,Aramark Common Stock
ARNC,$ARNC,Arconic Corporation Common Stock 
AROC,$AROC,Archrock Inc. Common Stock
AROW,$AROW,Arrow Financial Corporation Common Stock
ARQT,$ARQT,Arcutis Biotherapeutics Inc. Common Stock
ARR,$ARR,ARMOUR Residential REIT Inc.
ARRY,$ARRY,Array Technologies Inc. Common Stock
ARTNA,$ARTNA,Artesian Resources Corporation Class A Common Stock
ARVN,$ARVN,Arvinas Inc. Common Stock
ARW,$ARW,Arrow Electronics Inc. Common Stock
ARWR,$ARWR,Arrowhead Pharmaceuticals Inc. Common Stock
ASAI,$ASAI,Sendas Distribuidora S A ADS
ASAN,$ASAN,Asana Inc. Class A Common Stock
ASB,$ASB,Associated Banc-Corp Common Stock
ASBA,$ASBA,Associated Banc-Corp 6.625% Fixed-Rate Reset Subordinated Notes due 2033
ASC,$ASC,Ardmore Shipping Corporation Common Stock
ASGN,$ASGN,ASGN Incorporated Common Stock
ASH,$ASH,Ashland Inc. Common Stock
ASIX,$ASIX,AdvanSix Inc. Common Stock 
